Method,Mean_R2,Std_R2,CV_R2_pct,Mean_RMSE,Std_RMSE,Mean_MAE,Std_MAE,Jaccard_mean,Jaccard_std
DC,0.8963736811344153,0.005856207425738434,0.6533221076200104,10.851519966755882,0.30979435307650505,6.8161401666464485,0.15410586552724623,0.94158215010142,0.05882213050025757
MI,0.8783687376027611,0.005570860576620028,0.634228011327451,11.75795797456944,0.2712355987304943,7.330813902627944,0.14577668204669994,0.9329877544887688,0.05916078240017789
MIC,0.8782719541065054,0.0050117132628689,0.5706334170681198,11.763307998903315,0.24981217924339963,7.328928918720652,0.14536044227760495,0.9467207572684248,0.05856166406160795
XI,0.8388310175196618,0.0070826845979564184,0.8443517764637744,13.535264310058567,0.31067167413867514,8.485664076352359,0.1682374160839203,0.9505070993914808,0.05807879973443663
