method,n_repetitions,mean_total_s,std_total_s,mean_s_per_feat,cv_pct
xi,30,0.42045952799999214,0.06604428038882978,0.005190858370370273,15.707642707725967
mi,30,8.530552986200014,1.5719551542315628,0.10531546896543227,18.427353499527346
dc,30,2.139245050733329,0.10152776154913074,0.026410432725102826,4.745962203550604
