method,threshold_pct,n_features,model,selected_features,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,delta_r2
dc,20,16,rf,"['wtd_std_ThermalConductivity', 'range_ThermalConductivity', 'std_ThermalConductivity', 'range_atomic_radius', 'wtd_mean_Valence', 'wtd_gmean_Valence', 'range_fie', 'wtd_entropy_atomic_mass', 'entropy_Valence', 'mean_Valence', 'wtd_entropy_atomic_radius', 'number_of_elements', 'gmean_Density', 'wtd_entropy_Valence', 'gmean_Valence', 'std_fie']",0.9827136223714996,4.452459181313767,2.5487807582735695,0.9028697882049375,10.509758555016987,5.967895247611404,0.8933865735157678,10.884201762663926,6.416353053217096,0.08932704885573184
mi,10,8,lasso,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence']",0.530938982963562,23.19330596923828,18.361358642578125,0.519029974937439,23.387004852294922,18.500442504882812,0.5180715322494507,23.140989303588867,18.38134765625,0.012867450714111328
mi,10,8,elastic_net,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence']",0.530938982963562,23.19330596923828,18.361469268798828,0.5190268158912659,23.387081146240234,18.500600814819336,0.5180736780166626,23.14093780517578,18.38139533996582,0.012865304946899414
mi,10,8,lightgbm,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence']",0.9594487822844168,6.81945862422,3.8603908078112155,0.8749090449148204,11.926926015450515,6.798530348784086,0.8654121046196993,12.22907571746397,7.152265425102756,0.09403667766471746
mi,10,8,rf,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence']",0.9694691563684749,5.9172150215965,3.2841223841196303,0.8711958748015802,12.1026495332142,6.778057538468312,0.8604610828859851,12.451976924638496,7.184894509202115,0.10900807348248975
mi,15,12,lasso,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie']",0.5697206258773804,22.213817596435547,17.272457122802734,0.5609912872314453,22.343549728393555,17.35741424560547,0.5579804182052612,22.162124633789062,17.32283592224121,0.01174020767211914
mi,15,12,elastic_net,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie']",0.5697197318077087,22.21384048461914,17.272686004638672,0.5609943866729736,22.343469619750977,17.35744857788086,0.5579830408096313,22.162057876586914,17.322885513305664,0.011736690998077393
mi,15,12,lightgbm,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie']",0.9588489618033941,6.869709095998386,4.016657734030026,0.883788787265864,11.495810276655707,6.652342594254974,0.8692827287277617,12.05194440750618,7.092887710960945,0.08956623307563238
mi,15,12,rf,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie']",0.9646263466948615,6.369244285905974,3.619737037048708,0.8778958037485126,11.783677977629129,6.631539082579581,0.8680750247123759,12.107490690319695,7.0928568419815345,0.09655132198248562
mi,20,16,lasso,"['range_fie', 'range_ElectronAffinity', 'range_Density', 'range_atomic_radius', 'entropy_Valence', 'entropy_atomic_radius', 'std_ThermalConductivity', 'wtd_mean_Valence', 'gmean_Valence', 'wtd_gmean_Valence', 'gmean_Density', 'std_fie', 'range_FusionHeat', 'entropy_atomic_mass', 'range_atomic_mass', 'wtd_gmean_Density']",0.5883968472480774,21.726375579833984,16.998098373413086,0.5789767503738403,21.881072998046875,17.058443069458008,0.5710846185684204,21.831140518188477,17.125356674194336,0.017312228679656982
