rep,random_state_split,r2_train,r2_test,mae_test,rmse_test,delta_r2,elapsed_s
0,0,0.9154409981495927,0.8780002898377849,7.196932168180405,11.732788171859807,0.03744070831180779,37.826947765000114
1,1,0.9155169422742283,0.8763827048921191,7.543148052163404,12.043464974982511,0.039134237382109194,37.15954743600014
2,2,0.913274394157814,0.886762562521613,7.231227802527207,11.288658794383851,0.026511831636200966,37.27170465800009
3,3,0.9131053436021379,0.8817808326572404,7.294229384747964,11.507757416638514,0.03132451094489752,37.26829378100001
4,4,0.9134405139610259,0.8823618410390328,7.385568621674531,11.748672602608949,0.031078672921993067,37.28540162399986
5,5,0.9159275665806725,0.8784417766184507,7.267899943308005,11.669337550622705,0.03748578996222185,37.1197100469999
6,6,0.9155010473226526,0.874646481525519,7.5195280345686655,12.19874402171412,0.040854565797133535,37.34965654100006
7,7,0.9155851790279377,0.8844727693251712,7.206217722297326,11.39384800657518,0.03111240970276652,37.43985273399994
8,8,0.916282402725194,0.875664751401759,7.285700986113066,11.720453177291121,0.04061765132343498,37.099027335999835
9,9,0.9183272847697511,0.8714913291878537,7.129202569284476,11.85732036495199,0.04683595558189746,37.255395359999966
10,10,0.9120105782654786,0.8764727082588575,7.442947604682035,11.825164408609348,0.03553787000662112,37.01938758699998
11,11,0.9152151028284484,0.8754681257461044,7.268589873354004,11.872089054626592,0.03974697708234398,37.309482863000085
12,12,0.9168967180622185,0.8797488757689446,7.174508534126897,11.599066495683696,0.03714784229327395,37.396593695999854
13,13,0.9127175518254923,0.8841441928788161,7.3915823871118205,11.57349203520236,0.02857335894667623,37.01870817100007
14,14,0.9148362668319392,0.8737253728659176,7.237851372979899,11.82057330414495,0.04111089396602163,37.10996857800001
15,15,0.9132569285426466,0.8821403541088454,7.340852009886531,11.579601214143592,0.031116574433801225,36.93686188599986
16,16,0.9166887628208544,0.8839459691270402,7.220298953253062,11.457086208884576,0.032742793693814276,37.44632312199974
17,17,0.912817511839462,0.8764939025206333,7.398753743763652,11.875479924480148,0.03632360931882872,36.84005101999992
18,18,0.9181538519313756,0.8816975823224455,7.117360882262032,11.682138688684057,0.03645626960893,37.31174057899989
19,19,0.9138928042204564,0.8815565196623555,7.438924112316224,11.657531822350453,0.03233628455810089,37.18196900900011
20,20,0.9166800549676218,0.8767569170349396,7.264536352535196,11.834173007313773,0.03992313793268221,37.54933077300029
21,21,0.9154888505277509,0.8733457844566161,7.4285470824552355,11.880173072280206,0.042143066071134716,37.07513612399998
22,22,0.9177643687730364,0.8685808937011825,7.489677578683487,12.237592754193294,0.04918347507185383,37.22184037099987
23,23,0.9183400254745023,0.8736516952112788,7.4682799941592215,11.895405395348575,0.0446883302632235,38.80373672199994
24,24,0.915181590501647,0.8681079009196088,7.705146344207798,12.367952116834902,0.04707368958203828,39.780710391999946
25,25,0.9132464955414882,0.8783648729754507,7.332280911107804,11.748742290717413,0.03488162256603744,39.42277590699996
26,26,0.9131656026252912,0.8868408065266447,7.076584938833574,11.471460323370222,0.026324796098646575,39.65548674599995
27,27,0.9147752947117039,0.8838762455834396,7.209073764198039,11.58779051811219,0.030899049128264355,41.08763095199993
28,28,0.9133428604414711,0.879971418124223,7.294289389251511,11.685126942548644,0.03337144231724809,39.388381736000156
29,29,0.9129719316149797,0.873263146395269,7.508126447586474,12.087555307941749,0.03970878521971066,36.93043766500023
